doc_id,title,local_path,source_url,doc_type,tags,collected_at
rag_corpus_cargo_customs_clearance_txt,Cargo Customs Clearance,RAG-corpus/cargo-customs-clearance.txt,https://www.visavisa.info/delivery_goods/kontejnery/,txt,"customs,clearance,cargo customs,customs clearance",2025-12-18
rag_corpus_cargo_forwarding_txt,Cargo Forwarding,RAG-corpus/cargo-forwarding.txt,https://www.visavisa.info/delivery_goods/expedirovanie/,txt,"cargo,forwarding",2025-12-18
rag_corpus_cargo_product_certification_txt,Cargo Product Certification,RAG-corpus/cargo-product-certification.txt,https://www.visavisa.info/delivery_goods/sertifikaciya_produkcii/,txt,"cargo,certification",2025-12-18
rag_corpus_cargo_txt,Cargo,RAG-corpus/cargo.txt,https://www.visavisa.info/delivery_goods/,txt,cargo,2025-12-18
rag_corpus_consulate_faq_txt,Consulate Faq,RAG-corpus/consulate-FAQ.txt,https://docs.yandex.ru/docs/view?url=ya-browser%3A%2F%2F4DT1uXEPRrJRXlUFoewruPC7a7JVLDw9f4mvKVOCOeFPqy1QFCS3ESZTwG3O7fJgDuGyLIpLFYcoAS1OAh6pnmNsX71-3OtdLW-FCZuF-DoBPl9N3MnVHcvw_bO1-re3jpEtrJ_MP_4w7SuF15YAAA%3D%3D%3Fsign%3D5KoSzlSp-SWJ_tyeih_riULN3ivmKENfKWUpWQ1-Zk8%3D&name=P020230505816553560397.doc&nosw=1,txt,"consulate,faq",2025-12-18
rag_corpus_consulate_contacts_txt,Consulate Contacts,RAG-corpus/consulate-contacts.txt,https://ekaterinburg.china-consulate.gov.cn/rus/lxwmx/200912/t20091207_4071395.htm,txt,"consulate,contacts,mail,email,opening hours,adress,contact",2025-12-18
rag_corpus_contacts_txt,Contacts,RAG-corpus/contacts.txt,https://www.visavisa.info/contact/,txt,"contact,contacts,adress,links,email,mail,phone number,opening hours,legal information",2025-12-18
rag_corpus_form_china_csv,Form China,RAG-corpus/form-china.csv,https://docs.yandex.ru/docs/view?url=ya-browser%3A%2F%2F4DT1uXEPRrJRXlUFoewruFCWcNMqYwp8wdCfOBn7v-ynWxfbj0a8P777HmN-xR-870-HaSh4yfMzPNU0U9SuS12zahm3oYs-XwcD-unyZ-fKb1cPxz-xrmqMkZ7EXpE5FAi2mAp08DBMAV2c5T3edg%3D%3D%3Fsign%3DJJaeMRBREHXQWoGbiRchFyOstw1k56m_YNaBEvT-z1M%3D&name=Oprosnyi%20list%20China%202025.docx&nosw=1,csv,"china,form",2025-12-18
rag_corpus_form_japan_csv,Form Japan,RAG-corpus/form-japan.csv,https://docs.yandex.ru/docs/view?url=ya-browser%3A%2F%2F4DT1uXEPRrJRXlUFoewruDyB_7HfaNGXeP7BN_sSryF1dnjMNMuNyp6TG11PFurJFnsRcxTsWuPTfyTNG4_brRxtgUAZ29_iwF1Plo011dtzM5ee0FGrZvMWwLPBVghJKPvkVMSfZs74Ps-QfRvjbQ%3D%3D%3Fsign%3Dc7E2m5RJaOHJJIttA89gcMp68S5Xu-gLwFIxej2_7TE%3D&name=Oprosnyi_list_Japan.doc&nosw=1,csv,"japan,form",2025-12-18
rag_corpus_form_taiwan_csv,Form Taiwan,RAG-corpus/form-taiwan.csv,https://docs.yandex.ru/docs/view?url=ya-browser%3A%2F%2F4DT1uXEPRrJRXlUFoewruAeqWUlf-HjmhqZtnjJU0chMxqxlMqwBYIaPp2NUVTDVFky_upkaX6Uj610qz54ggOR1Dv-qeElsEYyRgBLgliXT9jS8JpHw2O4zpDmCHWblzh5g2W8Z9aKkgg80ACP8MA%3D%3D%3Fsign%3DscKwtoCtnX_6AiYlHqj-YWG0lxheoMREy89glyomNr4%3D&name=Oprosnyi_list_Taiwan.doc&nosw=1,csv,"taiwan,form",2025-12-18
rag_corpus_furniture_tour_faq_txt,Furniture Tour Faq,RAG-corpus/furniture-tour-FAQ.txt,https://www.visavisa.info/furniture_tours/vopros-otvet/,txt,"furniture,tour,furniture tour,furniture china tour, faq",2025-12-18
rag_corpus_furniture_tour_cost_duties_csv,Furniture Tour Cost Duties,RAG-corpus/furniture-tour-cost-duties.csv,https://www.visavisa.info/furniture_tours/oplata_tovarov/stavki_tamozhennih_poshlin/,csv,"furniture,tour,furniture tour,furniture china tour,duties",2025-12-18
rag_corpus_furniture_tour_cost_table_csv,Furniture Tour Cost Table,RAG-corpus/furniture-tour-cost-table.csv,https://www.visavisa.info/furniture_tours/oplata_tovarov/our-price/,csv,"furniture,tour,furniture tour,furniture china tour,cost",2025-12-18
